t,S,I,R,N
0.0,990.0,10.0,0.0,1000.0
0.1,989.4990153200853,10.247898072276143,0.25308660763853114,1000.0
0.5331242537191838,987.1852964117763,11.391111426852984,1.4235921613706284,999.9999999999999
1.3919008491040001,981.8312125227972,14.026022042698543,4.142765434504278,1000.0
2.6102120755226386,972.1392310589528,18.757815561654184,9.102953379393014,1000.0
4.1811820758323055,954.9905500491583,27.007702518267596,18.001747432574035,999.9999999999999
6.180123810566044,923.0706717929863,41.9297677983272,34.999560408686385,1000.0
8.664951930903612,862.6705810342163,68.49345419063425,68.83596477514936,999.9999999999999
11.691425331813486,754.3022993851441,109.7418618540929,135.95583876076284,999.9999999999999
15.279370667110317,595.1014268847738,150.4136326448068,254.48494047041933,1000.0
19.082963490744028,442.01411791013015,154.80694988491862,403.1789322049512,1000.0
23.423425193442526,326.89511674939587,119.06860394684871,554.0362793037554,1000.0
28.42949373098617,258.50852421889647,70.1105219475306,671.3809538335728,999.9999999999999
33.298779173639595,227.58338337085723,37.32857063157995,735.0880459975627,1000.0
40.0,209.8412140201436,14.473644966455813,775.6851410134005,1000.0
